material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Mycelium Packaging,5,13,8,78,4.06,0.54
Mycelium Packaging,8,19,8,77,4.58,0.62
Recycled Paper Wrap,6,7,5,74,3.16,0.67
Recycled Cardboard,9,15,6,60,4.63,0.85
Bamboo Fiber Packaging,7,3,6,84,3.02,0.44
Recycled Cardboard,5,12,8,85,2.59,1.13
Bamboo Fiber Packaging,7,10,8,94,2.99,0.48
Cornstarch Packaging,8,10,7,74,3.83,0.62
PLA Bioplastic,6,8,8,63,3.1,0.49
Paper Foam,6,14,5,74,4.02,0.61
Seaweed Packaging,9,9,9,97,2.71,1.07
Recycled Cardboard,6,18,8,98,4.1,0.89
Honeycomb Paperboard,5,11,8,60,3.04,0.58
Bagasse Fiber,8,12,5,81,3.37,1.1
Corrugated Board,7,12,7,70,3.67,1.04
Corrugated Board,8,12,8,97,4.06,1
Recycled Cardboard,6,18,6,96,2.72,1.08
Bamboo Fiber Packaging,7,3,6,85,4.51,0.9
Honeycomb Paperboard,9,19,6,86,4.17,0.8
PLA Bioplastic,8,16,9,72,2.7,0.7
Recycled Paper Wrap,7,19,9,66,4.92,0.58
Bamboo Fiber Packaging,7,16,8,67,3.99,0.85
Kraft Paper,7,10,8,82,3.36,1.11
Kraft Paper,5,11,8,85,2.47,0.88
Cornstarch Packaging,8,10,9,86,3.6,1.14
Corrugated Board,7,15,8,68,2.49,0.69
Recycled Cardboard,8,19,5,97,3.29,0.96
Kraft Paper,7,9,7,72,3.23,0.92
Recycled Cardboard,9,19,6,66,4.16,0.94
Cornstarch Packaging,9,3,6,70,2.58,0.92
Corrugated Board,9,7,5,69,4.47,0.58
Biodegradable Plastic,6,8,8,92,2.98,0.51
PLA Bioplastic,7,4,9,98,3.33,1.18
Bagasse Fiber,6,18,8,62,4.32,0.44
Bagasse Fiber,8,7,8,88,3.88,0.77
Kraft Paper,6,7,6,96,2.92,0.74
Bagasse Fiber,8,14,6,75,3.16,0.69
Mycelium Packaging,8,5,9,75,2.92,1.03
PLA Bioplastic,8,18,6,66,3.78,1
Bamboo Fiber Packaging,6,8,8,74,3,1.12
Biodegradable Plastic,7,17,5,97,4.18,0.72
PLA Bioplastic,6,17,9,65,3.74,0.85
Mycelium Packaging,7,18,5,77,2.44,1.11
Recycled PET,7,15,8,78,2.93,1.2
Bamboo Fiber Packaging,8,14,9,61,2.66,1.18
Mycelium Packaging,6,12,5,62,3.17,0.97
Recycled Cardboard,7,16,9,84,3.55,0.51
Cornstarch Packaging,9,4,8,95,3.52,0.42
Seaweed Packaging,7,5,9,87,4.26,1.06
Biodegradable Plastic,9,11,8,97,2.57,1.07
Seaweed Packaging,6,13,9,87,4.84,1
Cornstarch Packaging,6,13,9,91,3.03,0.62
Cornstarch Packaging,6,12,6,95,2.9,0.91
Mycelium Packaging,7,16,8,98,4.06,0.65
Corrugated Board,5,11,7,95,4.42,0.76
Mycelium Packaging,7,12,9,82,3.14,0.71
Seaweed Packaging,7,11,5,61,4.24,1.13
Mycelium Packaging,8,7,6,69,4.65,0.59
Recycled Cardboard,8,10,6,65,4.3,0.86
Mycelium Packaging,7,13,9,67,2.1,0.69
Honeycomb Paperboard,9,3,7,74,4.48,0.93
Bagasse Fiber,8,12,6,88,4.32,0.85
Seaweed Packaging,7,3,8,87,4.01,1.14
Honeycomb Paperboard,5,9,9,81,4.28,0.48
Corrugated Board,9,16,9,93,4.94,0.58
Cornstarch Packaging,6,7,7,79,3.29,1.01
Kraft Paper,7,19,8,92,2.2,0.7
PLA Bioplastic,7,8,8,74,3.38,0.53
Bamboo Fiber Packaging,9,18,7,66,2.14,0.8
Bagasse Fiber,8,13,5,83,2.88,0.92
Bamboo Fiber Packaging,8,12,8,85,3.76,0.44
Mycelium Packaging,8,17,5,69,2.93,0.63
Recycled PET,6,9,5,74,4.06,1.05
Bagasse Fiber,9,4,9,96,4.47,0.82
Recycled Cardboard,9,14,9,83,3.26,0.43
Recycled PET,8,14,6,70,4.7,0.63
Paper Foam,8,18,9,99,2.24,0.91
Molded Pulp,5,8,8,80,4.52,0.56
Molded Pulp,5,5,8,99,4.49,1.06
Molded Pulp,7,4,5,97,2.97,0.94
Paper Foam,7,7,8,74,2.9,0.78
Bamboo Fiber Packaging,9,13,9,74,2.92,1.13
Recycled Cardboard,9,5,9,96,4.43,0.71
Recycled PET,6,5,9,73,4.49,0.59
Paper Foam,6,7,7,80,2.99,0.93
Molded Pulp,5,13,8,79,3.78,0.86
Corrugated Board,7,5,6,92,2.42,0.67
Biodegradable Plastic,5,15,8,62,3.41,0.67
Recycled PET,5,10,8,99,5,0.72
Seaweed Packaging,7,12,7,82,2.48,0.63
Cornstarch Packaging,6,4,8,82,4.84,0.97
Paper Foam,7,6,5,86,4.47,0.92
Recycled Cardboard,8,6,9,94,4.92,0.75
Recycled Cardboard,8,11,9,84,2.54,0.72
Seaweed Packaging,8,18,7,91,2.64,0.69
Honeycomb Paperboard,9,8,9,81,2.05,0.63
Biodegradable Plastic,6,6,5,67,4.17,0.47
Recycled PET,6,11,7,97,3.93,0.61
Kraft Paper,9,15,6,77,2.53,0.66
Bagasse Fiber,5,11,9,87,4.37,0.84
Molded Pulp,8,8,8,87,2.9,1.02
Recycled PET,8,16,5,70,2.4,0.72
Mycelium Packaging,5,17,5,71,3.27,1.16
Kraft Paper,7,5,9,61,2.27,1.06
Honeycomb Paperboard,7,7,6,96,2.79,1.19
Molded Pulp,6,16,8,63,3.11,1.1
Biodegradable Plastic,9,18,6,93,4.56,0.89
PLA Bioplastic,6,16,6,82,4.38,0.88
Mycelium Packaging,7,11,9,72,3.33,0.5
Honeycomb Paperboard,5,17,8,66,4.17,0.98
Bamboo Fiber Packaging,6,9,9,91,3.71,0.88
Molded Pulp,8,16,9,82,3.02,0.81
Biodegradable Plastic,8,8,5,67,4.18,0.95
Recycled Paper Wrap,5,17,9,96,4.05,0.76
Kraft Paper,7,10,7,93,3.86,0.82
Kraft Paper,8,4,8,88,3.85,0.72
Bagasse Fiber,8,10,5,96,4.05,0.97
Seaweed Packaging,9,3,8,82,3.15,1.1
Biodegradable Plastic,6,19,5,97,4.61,1.07
Paper Foam,7,7,7,88,2.49,1.03
Recycled Paper Wrap,6,18,9,64,4.65,0.41
PLA Bioplastic,7,9,5,99,3.03,1.13
Corrugated Board,8,9,5,70,2.38,0.62
Molded Pulp,9,4,5,73,3.8,1.11
Mycelium Packaging,6,17,7,61,3.13,0.56
Recycled Paper Wrap,8,16,8,94,4.45,0.75
Biodegradable Plastic,7,11,7,94,3.29,1
Bamboo Fiber Packaging,6,16,5,87,4.01,0.91
Cornstarch Packaging,6,7,5,67,2.92,0.73
Molded Pulp,8,13,9,91,2.63,0.94
Recycled Cardboard,6,10,7,63,3.16,0.84
Kraft Paper,9,7,7,66,3.82,0.62
Bamboo Fiber Packaging,9,13,6,98,3.97,0.92
Seaweed Packaging,8,7,8,86,3.73,0.56
Biodegradable Plastic,7,19,6,96,4.96,0.96
PLA Bioplastic,8,6,6,76,4.07,0.4
Recycled Cardboard,9,17,8,69,4.79,0.84
Bagasse Fiber,5,4,9,63,2.35,0.72
Mycelium Packaging,5,19,9,82,2.18,0.64
Recycled PET,6,14,8,73,2.93,0.81
Honeycomb Paperboard,6,19,8,64,2.41,0.92
Corrugated Board,5,12,7,61,3.58,1.17
Corrugated Board,9,15,7,83,3.56,1.07
Bamboo Fiber Packaging,6,16,7,77,3.73,0.97
Recycled Cardboard,8,18,7,86,4.24,0.78
Recycled PET,8,18,5,83,4.91,0.71
Recycled PET,9,19,5,88,4.63,0.43
Kraft Paper,6,9,9,70,2.36,0.69
Bagasse Fiber,8,14,5,77,3.02,1.08
Cornstarch Packaging,6,4,5,63,2.77,0.71
Kraft Paper,6,12,7,92,2.53,0.77
Recycled Paper Wrap,8,7,7,73,3.63,0.62
Seaweed Packaging,5,5,8,91,3.66,0.62
Corrugated Board,8,15,7,63,2.68,0.45
Recycled Paper Wrap,9,14,8,79,4.14,0.89
PLA Bioplastic,7,5,8,80,4.2,0.76
Molded Pulp,8,8,5,62,2.06,0.88
Paper Foam,6,16,7,84,3.19,0.84
Biodegradable Plastic,6,6,5,63,4.67,1.04
Mycelium Packaging,8,15,7,70,3.56,1
Bagasse Fiber,7,5,5,75,3.04,1.02
Kraft Paper,8,8,5,95,2.76,0.8
Corrugated Board,7,18,5,65,2.73,0.68
Recycled Paper Wrap,7,5,9,90,2.3,1.15
Honeycomb Paperboard,9,14,5,99,4.45,0.44
Bamboo Fiber Packaging,6,6,6,72,2.26,0.52
Seaweed Packaging,6,3,6,82,2.88,0.74
Seaweed Packaging,7,4,6,63,2.14,0.89
Molded Pulp,6,15,8,96,4.34,0.41
Biodegradable Plastic,5,15,5,96,2.12,0.98
Biodegradable Plastic,7,4,6,92,2.92,0.85
Seaweed Packaging,6,18,8,88,3.72,0.79
Seaweed Packaging,5,14,6,96,3.23,0.74
Recycled PET,9,3,7,78,2.85,0.82
Kraft Paper,6,11,9,79,2.83,0.53
Recycled PET,5,19,5,91,4.39,0.49
Bagasse Fiber,8,12,9,75,4.92,0.63
Cornstarch Packaging,8,9,9,64,3.04,0.97
PLA Bioplastic,5,17,7,71,2.12,0.87
Honeycomb Paperboard,7,11,7,80,2.11,0.78
PLA Bioplastic,7,12,7,73,4.28,0.86
Kraft Paper,6,6,8,96,3.66,0.85
Recycled Paper Wrap,8,8,6,81,4.35,0.65
Paper Foam,7,6,5,89,4.09,0.48
Seaweed Packaging,7,7,7,82,4.72,1.12
Recycled Cardboard,8,11,5,64,4.66,0.88
Cornstarch Packaging,9,14,5,88,4.36,0.96
Bagasse Fiber,7,10,5,89,3.43,0.77
Molded Pulp,5,7,7,77,2.92,1.01
Cornstarch Packaging,6,13,7,60,3.52,0.87
Seaweed Packaging,7,13,6,98,3.51,0.44
Corrugated Board,7,15,7,76,3.83,1.11
Bagasse Fiber,9,16,7,62,2.56,0.64
Paper Foam,5,10,5,66,3.97,0.51
Corrugated Board,6,14,6,86,3.37,0.47
Cornstarch Packaging,7,14,9,87,3.86,0.98
Recycled Cardboard,6,12,7,90,2.72,0.96
Recycled Cardboard,8,9,7,74,3.3,0.96
Recycled PET,7,14,9,67,2.63,1.13
Paper Foam,7,16,5,65,4.63,0.68
Biodegradable Plastic,8,17,6,87,3.46,0.85
Mycelium Packaging,9,18,5,63,2.67,0.9
Honeycomb Paperboard,7,4,8,89,2.12,1.18
Seaweed Packaging,6,14,7,76,4.03,0.65
Molded Pulp,5,18,8,93,2.64,1.17
Seaweed Packaging,6,15,7,65,4.97,0.52
Biodegradable Plastic,9,19,8,95,3.6,1.01
PLA Bioplastic,5,5,9,94,2.87,0.91
Recycled PET,6,12,7,98,3.97,1.05
Recycled PET,6,3,7,98,2.83,0.42
PLA Bioplastic,8,8,8,75,4.46,0.46
Bamboo Fiber Packaging,9,5,6,61,2.92,0.46
PLA Bioplastic,8,6,8,67,4.96,0.87
Recycled Cardboard,5,5,7,74,3.82,0.88
Recycled Cardboard,8,10,7,86,4.53,1.12
Recycled Paper Wrap,9,10,6,75,2.22,0.77
Corrugated Board,7,9,5,60,3.04,0.45
Cornstarch Packaging,7,4,6,69,4.21,0.57
Molded Pulp,5,8,5,66,3.97,0.41
Paper Foam,7,18,7,69,2.58,1.02
Cornstarch Packaging,8,12,9,71,3.07,1.05
Seaweed Packaging,5,6,9,76,2.79,1.2
Recycled Paper Wrap,9,15,8,71,3.84,0.73
Recycled Cardboard,5,12,6,74,3.03,0.42
Recycled PET,5,16,6,91,2.93,0.59
Paper Foam,6,11,9,91,2.62,0.87
Recycled Cardboard,6,13,5,85,3.23,1.17
Mycelium Packaging,5,13,6,73,2.59,0.48
Molded Pulp,7,19,5,85,4.89,0.5
Corrugated Board,6,4,5,64,2.46,0.96
Bamboo Fiber Packaging,9,5,5,97,4.74,0.93
Cornstarch Packaging,8,13,5,63,3.29,0.6
Cornstarch Packaging,6,5,8,87,3.13,1.05
PLA Bioplastic,5,17,8,60,2.69,0.5
Biodegradable Plastic,7,13,9,72,3.91,1.14
PLA Bioplastic,8,13,8,62,4.06,0.56
Mycelium Packaging,6,13,6,84,3.4,0.47
Paper Foam,7,3,8,75,2.17,0.67
Honeycomb Paperboard,7,7,6,80,4.76,0.55
PLA Bioplastic,7,12,6,72,4.94,0.82
Bamboo Fiber Packaging,5,12,5,95,3.29,0.95
Recycled Paper Wrap,9,16,9,67,3.84,0.79
PLA Bioplastic,7,4,5,78,3.35,0.93
PLA Bioplastic,8,6,5,75,2.97,0.69
Honeycomb Paperboard,6,4,8,71,2.23,0.42
Biodegradable Plastic,8,15,8,79,3.37,1.18
Molded Pulp,5,7,6,77,4.46,1.06
Recycled Paper Wrap,5,4,8,71,2.05,0.46
PLA Bioplastic,8,13,8,84,3.75,0.76
Mycelium Packaging,9,8,7,70,4.64,0.91
Recycled PET,5,12,6,81,2.65,0.55
Corrugated Board,5,19,6,93,2.55,0.86
Bamboo Fiber Packaging,8,13,7,72,4.32,0.83
Honeycomb Paperboard,5,19,6,97,2.77,0.57
Corrugated Board,9,6,9,71,2.58,0.51
Honeycomb Paperboard,9,16,9,98,3.13,1.01
Mycelium Packaging,9,6,7,95,3.18,0.66
Corrugated Board,6,16,8,87,4.62,0.6
Honeycomb Paperboard,9,6,9,86,3.86,0.99
Seaweed Packaging,9,8,7,98,3.22,0.99
Corrugated Board,6,11,9,72,3.6,0.62
Biodegradable Plastic,7,14,5,99,4.86,1.1
Bagasse Fiber,5,10,7,86,2.34,0.95
Recycled Paper Wrap,9,6,6,90,2.62,0.68
Paper Foam,5,7,9,61,4.89,0.74
Molded Pulp,8,8,6,77,4.87,0.98
Seaweed Packaging,5,7,7,85,2.53,0.57
Kraft Paper,6,10,9,90,2.44,0.78
Recycled Cardboard,5,11,6,97,3.26,0.92
Mycelium Packaging,5,17,8,81,2.15,0.83
Mycelium Packaging,5,6,8,95,3.96,0.89
PLA Bioplastic,7,11,5,78,2.23,0.84
Recycled PET,7,9,7,73,2.17,0.56
Bamboo Fiber Packaging,8,10,6,73,3.46,0.73
Paper Foam,6,17,5,88,4.87,0.83
Recycled Cardboard,5,17,7,76,3.28,1.02
Mycelium Packaging,5,7,8,96,3.07,0.92
Recycled Paper Wrap,5,9,6,68,4.99,0.74
Paper Foam,5,8,9,60,3.6,1.18
Corrugated Board,7,19,8,63,3.13,0.49
Corrugated Board,8,12,9,66,3.16,0.57
Kraft Paper,9,13,9,70,2.58,0.67
Recycled Cardboard,6,17,6,73,3.54,0.58
Mycelium Packaging,5,12,6,78,3.32,0.9
Molded Pulp,8,13,9,99,2.81,0.43
Mycelium Packaging,9,5,5,62,2.48,0.54
Recycled Paper Wrap,8,5,9,67,2.93,0.63
Corrugated Board,7,13,9,88,3.53,0.95
PLA Bioplastic,9,17,6,96,2.17,1.1
Bagasse Fiber,8,9,7,68,2.46,1.04
Biodegradable Plastic,7,12,8,78,4.84,0.55
Biodegradable Plastic,8,12,6,71,3.63,0.85
Honeycomb Paperboard,8,15,5,86,2.19,0.42
Molded Pulp,9,17,8,96,4.08,0.65
Mycelium Packaging,7,6,6,84,2.19,1.04
Biodegradable Plastic,5,19,6,97,4.22,0.77
Honeycomb Paperboard,6,5,7,76,4.25,0.52
Recycled Cardboard,9,4,5,92,3.95,0.75
Corrugated Board,7,6,5,98,4.2,0.56
Bamboo Fiber Packaging,8,3,6,73,2.26,0.71
Recycled PET,7,17,7,87,4.18,0.79
Seaweed Packaging,6,3,6,77,2.41,0.68
Corrugated Board,6,8,9,92,3.02,1.15
Seaweed Packaging,5,9,9,74,4.83,0.85
PLA Bioplastic,5,14,7,70,3.51,1.07
Bagasse Fiber,6,3,6,95,4.9,1.01
Paper Foam,9,9,7,74,2.27,0.93
Biodegradable Plastic,9,15,6,89,3.43,0.8
Recycled Cardboard,8,14,6,74,2.19,0.4
Seaweed Packaging,5,14,9,82,3.89,0.89
Recycled PET,8,15,8,74,2.24,0.68
Cornstarch Packaging,5,16,5,88,2.53,0.49
Mycelium Packaging,6,14,5,70,2.78,0.76
Biodegradable Plastic,9,14,7,77,4.25,0.99
Mycelium Packaging,9,8,5,99,2.49,1.17
Recycled PET,6,12,9,90,4.54,0.7
Molded Pulp,8,11,8,68,2.4,0.83
PLA Bioplastic,8,4,6,81,2.11,1.08
Paper Foam,7,9,6,70,3.19,0.67
Biodegradable Plastic,5,11,9,76,4.94,0.51
Mycelium Packaging,8,14,5,92,2.33,0.63
Recycled Cardboard,6,7,6,70,2.31,1.12
Biodegradable Plastic,8,3,5,98,4.25,0.53
Seaweed Packaging,9,17,9,67,2.94,0.66
Molded Pulp,5,10,6,63,4.15,0.77
Cornstarch Packaging,7,3,7,95,2.6,1.08
Recycled Paper Wrap,5,15,8,78,3.38,1.15
Kraft Paper,9,3,5,83,2.8,0.74
Cornstarch Packaging,9,7,5,77,3.35,1.15
Honeycomb Paperboard,9,18,5,92,4.31,0.53
Biodegradable Plastic,9,12,5,95,4.29,0.53
Corrugated Board,6,6,9,69,3.55,1.16
Bagasse Fiber,7,3,9,73,4.79,0.81
Corrugated Board,9,10,9,66,2.79,0.55
Cornstarch Packaging,9,7,9,71,2.72,0.79
Seaweed Packaging,8,4,6,81,3.84,1.03
Corrugated Board,7,19,9,86,3.86,1.06
Recycled Cardboard,5,9,6,96,2.14,1.09
Corrugated Board,7,19,7,70,3.82,0.86
Paper Foam,7,8,9,95,3.12,1.09
Recycled Paper Wrap,7,17,7,72,4.24,0.81
Biodegradable Plastic,9,7,9,91,4.42,0.89
Recycled PET,9,17,7,67,3.66,1.01
PLA Bioplastic,6,8,8,66,2.01,0.74
Corrugated Board,5,4,7,76,3.91,0.46
Molded Pulp,8,19,6,81,4.25,0.68
PLA Bioplastic,7,6,5,93,2.75,0.9
Recycled Paper Wrap,5,14,7,79,3.39,0.55
Mycelium Packaging,5,4,5,67,4.9,0.52
Recycled PET,6,4,8,81,2.89,0.63
Seaweed Packaging,8,16,8,86,2.67,0.43
Recycled Paper Wrap,7,17,6,93,2.63,0.99
Corrugated Board,8,4,6,80,3.68,0.61
Recycled Paper Wrap,6,6,7,74,4.85,0.5
PLA Bioplastic,9,11,9,64,3.83,0.96
Bagasse Fiber,5,9,8,97,2.91,1.07
Seaweed Packaging,7,15,5,76,3.92,0.42
Corrugated Board,9,14,9,67,3.87,0.59
Recycled Cardboard,6,5,8,78,3.79,1.16
Cornstarch Packaging,8,15,7,64,2.48,0.71
Paper Foam,5,17,8,82,3.9,1.15
Kraft Paper,7,16,6,78,3.29,0.62
Bamboo Fiber Packaging,9,11,5,73,2.06,0.57
Honeycomb Paperboard,9,15,5,69,3.62,0.57
Seaweed Packaging,5,6,6,90,4.97,0.47
Recycled Paper Wrap,8,10,9,72,3.05,1.12
Recycled Cardboard,6,5,6,81,4.9,1.18
Biodegradable Plastic,8,4,5,96,2.29,1.16
Biodegradable Plastic,8,10,7,98,4.2,1.08
Honeycomb Paperboard,8,19,9,69,2.34,1.08
Seaweed Packaging,5,15,8,90,2.82,0.93
Seaweed Packaging,5,9,7,94,3.71,1.06
Paper Foam,6,11,9,72,3.78,0.57
Recycled Paper Wrap,8,14,5,89,4.33,0.71
Recycled PET,5,16,5,93,3.85,0.91
Bagasse Fiber,6,16,7,95,3.78,1.1
Honeycomb Paperboard,6,17,9,94,4.74,0.93
Paper Foam,8,5,8,63,3.36,1.07
Recycled Paper Wrap,7,17,8,63,2.68,0.78
PLA Bioplastic,8,16,6,65,2.49,0.97
Recycled Cardboard,7,10,7,87,3.2,1.18
Bamboo Fiber Packaging,6,7,9,89,4.14,0.52
Cornstarch Packaging,5,6,7,86,2.13,1.14
Bagasse Fiber,9,16,8,64,2.39,0.82
Recycled PET,6,18,9,98,2.32,0.91
PLA Bioplastic,5,8,5,94,3.76,1.1
PLA Bioplastic,6,8,5,98,2.73,0.73
Kraft Paper,8,5,9,74,2.5,0.73
Biodegradable Plastic,7,17,7,78,3.78,0.82
Molded Pulp,6,5,7,89,4.28,0.42
Recycled Cardboard,5,13,5,97,3,0.8
Biodegradable Plastic,8,5,5,91,3.73,0.63
Corrugated Board,9,12,8,99,2.29,1.14
Bamboo Fiber Packaging,8,3,9,88,4.81,0.47
PLA Bioplastic,7,18,7,65,3.01,0.77
Molded Pulp,8,18,8,85,4.99,1.16
Seaweed Packaging,9,12,7,86,4.94,1.12
Biodegradable Plastic,5,3,5,94,4.34,0.96
Recycled PET,6,6,9,87,2.06,0.87
Recycled PET,7,5,6,64,3.63,0.62
Recycled PET,9,7,9,75,2.26,0.69
Paper Foam,7,14,6,77,4.69,0.47
Bagasse Fiber,8,14,8,72,4.37,1.03
Mycelium Packaging,7,15,6,84,4.92,0.66
Biodegradable Plastic,9,14,6,69,3.83,0.93
Recycled PET,6,18,8,88,3.57,0.69
Kraft Paper,6,15,9,69,3.56,0.77
Cornstarch Packaging,7,7,8,65,3.16,0.84
Paper Foam,5,6,5,75,3.41,1.04
Mycelium Packaging,7,17,5,84,3.91,0.57
Recycled Cardboard,8,14,6,63,4.8,0.72
Recycled Cardboard,6,13,8,96,3.79,0.5
Recycled Cardboard,6,8,8,93,4.57,0.46
Recycled Cardboard,6,11,8,78,4.59,0.88
Cornstarch Packaging,5,3,9,92,3.56,0.55
Biodegradable Plastic,5,14,7,63,3.04,0.45
Recycled PET,9,16,7,93,3.92,1.12
Recycled Paper Wrap,7,8,7,71,3.34,0.83
Biodegradable Plastic,7,3,9,90,2.24,0.51
PLA Bioplastic,8,4,8,75,3.13,0.44
Corrugated Board,6,13,7,61,4.98,0.5
Mycelium Packaging,5,5,8,61,2.15,0.78
Recycled PET,8,12,6,95,4.09,0.93
Bamboo Fiber Packaging,8,8,7,65,4.52,0.91
Mycelium Packaging,5,8,6,82,3.95,0.52
Recycled PET,7,4,9,98,3.71,0.91
Bagasse Fiber,6,12,5,96,4.12,0.72
Molded Pulp,7,8,9,75,3.29,0.77
Recycled Paper Wrap,8,19,9,78,2.27,1.04
Mycelium Packaging,6,16,9,83,4.89,0.67
Recycled Paper Wrap,9,7,7,86,3.3,0.52
PLA Bioplastic,8,19,6,66,4,1.1
Biodegradable Plastic,7,4,7,89,3.59,0.57
Recycled Paper Wrap,7,11,5,73,2.16,0.64
Honeycomb Paperboard,7,14,9,74,4.86,0.97
Honeycomb Paperboard,5,9,8,71,4.38,0.95
Bamboo Fiber Packaging,8,11,5,88,2.45,1.04
Corrugated Board,6,18,6,82,4.94,0.55
Seaweed Packaging,7,13,5,72,4.21,0.68
Molded Pulp,7,14,7,68,3.42,0.5
Kraft Paper,5,17,8,83,3.83,0.83
Cornstarch Packaging,6,18,7,98,2.32,0.63
Biodegradable Plastic,8,17,9,89,3.68,0.95
Cornstarch Packaging,9,7,9,60,2.22,0.4
Bamboo Fiber Packaging,5,13,5,69,3.63,0.45
Kraft Paper,8,17,9,97,3.66,0.75
Bamboo Fiber Packaging,9,15,9,74,4.62,1.17
Recycled PET,7,6,6,68,4.18,1.11
Biodegradable Plastic,7,19,6,72,2.75,1.2
Biodegradable Plastic,6,6,7,82,4.67,0.73
Molded Pulp,9,18,7,92,3.72,0.44
Cornstarch Packaging,7,17,6,68,3.82,0.64
Honeycomb Paperboard,7,16,5,62,2.51,0.94
Recycled Cardboard,6,14,6,89,4.57,0.51
Cornstarch Packaging,8,5,7,68,4.79,0.64
Bagasse Fiber,7,12,8,84,4.32,0.44
Bamboo Fiber Packaging,5,10,9,83,4.82,0.78
Bagasse Fiber,5,8,8,91,2.91,0.57
Biodegradable Plastic,8,16,8,66,4.58,0.47
Recycled Cardboard,9,19,9,95,3.47,0.73
Paper Foam,6,18,6,84,2.49,0.68
Kraft Paper,5,17,5,79,4.01,0.83
Corrugated Board,5,17,8,76,4.05,1
Recycled Cardboard,8,3,5,95,2.86,0.49
Recycled PET,9,14,7,85,2.08,1.03
Corrugated Board,9,12,8,78,2.6,0.42
Mycelium Packaging,8,16,7,96,3.2,0.75
Cornstarch Packaging,5,12,6,62,2.5,0.87
Cornstarch Packaging,6,12,8,87,2.58,1.17
Corrugated Board,5,13,7,81,3.17,0.86
Seaweed Packaging,9,18,7,78,4.89,0.53
Kraft Paper,5,11,6,75,4.29,0.81
Recycled PET,6,17,5,65,2.96,0.72
Recycled Cardboard,7,16,5,96,4.85,0.78
Paper Foam,5,11,8,90,3.94,0.56
Biodegradable Plastic,8,6,6,93,3.37,0.8
Molded Pulp,7,9,8,90,3.4,0.52
Recycled PET,8,10,5,70,3.23,1
Cornstarch Packaging,8,10,6,95,2.7,0.88
Bagasse Fiber,8,17,9,65,3.16,0.46
Kraft Paper,5,18,6,86,3.58,1.11
Molded Pulp,9,11,6,66,3.58,0.89
Bamboo Fiber Packaging,7,14,9,91,4.29,0.65
Bamboo Fiber Packaging,6,18,7,67,3.08,0.44
Paper Foam,9,6,7,92,4.15,0.91
Bamboo Fiber Packaging,5,7,7,74,3.73,0.7
Recycled PET,8,10,5,86,4.89,1.13
Recycled Paper Wrap,6,3,6,89,3.16,0.43
PLA Bioplastic,7,8,9,81,4.7,0.43
Biodegradable Plastic,9,17,5,88,4.46,1.16
Cornstarch Packaging,9,6,9,89,3.91,1.17
Biodegradable Plastic,6,13,5,61,3.96,0.42
Bamboo Fiber Packaging,5,7,5,74,2.25,0.97
Seaweed Packaging,7,17,5,86,4.85,0.58
Mycelium Packaging,6,15,9,66,2.32,0.96
Mycelium Packaging,8,7,8,86,3.69,1.09
Molded Pulp,7,3,5,80,2.99,0.48
Mycelium Packaging,9,16,7,72,3.29,0.59
Mycelium Packaging,6,7,6,76,3.83,0.42
Biodegradable Plastic,9,8,8,70,4.73,0.44
PLA Bioplastic,9,18,8,69,3.37,0.42
Recycled Paper Wrap,9,14,9,92,4.96,1.04
Molded Pulp,5,4,8,73,3.78,0.64
Cornstarch Packaging,9,15,9,96,2.48,0.79
Recycled Cardboard,8,19,9,67,2.57,1.03
Bagasse Fiber,8,19,7,92,4.15,0.8
Molded Pulp,7,18,5,66,2.15,0.74
Honeycomb Paperboard,9,10,8,93,3.44,0.41
Seaweed Packaging,9,5,5,66,2.44,0.85
Recycled Paper Wrap,6,19,5,66,3.3,0.5
Seaweed Packaging,5,8,5,95,4.25,1.01
Molded Pulp,7,10,9,66,3.38,0.61
Molded Pulp,9,15,5,79,2.49,0.94
Honeycomb Paperboard,6,10,8,77,2.76,0.92
Mycelium Packaging,5,8,9,73,3.1,0.89
Cornstarch Packaging,7,17,8,99,2.21,0.61
Recycled PET,7,12,9,73,3.75,0.61
Recycled PET,9,19,6,80,3.82,1.09
Seaweed Packaging,7,3,6,86,2.19,0.41
Molded Pulp,6,9,6,85,3.21,0.55
Bagasse Fiber,7,15,6,86,3.24,0.89
Biodegradable Plastic,8,5,9,83,3,1.05
Cornstarch Packaging,6,17,5,64,3.67,0.69
Bagasse Fiber,5,7,7,97,3.04,0.92
Bamboo Fiber Packaging,5,13,7,87,3.25,0.85
Cornstarch Packaging,9,5,6,91,4.39,0.45
Bamboo Fiber Packaging,9,8,5,83,2.49,0.9
Bagasse Fiber,8,5,8,65,3.86,1.05
PLA Bioplastic,5,7,5,69,3.52,1.19
Recycled Paper Wrap,5,11,8,62,2.92,0.42
Mycelium Packaging,5,15,7,66,4.18,0.93
Bagasse Fiber,5,8,5,88,3.65,0.73
Corrugated Board,7,13,5,93,3.43,0.41
Bagasse Fiber,6,16,7,66,4,0.89
Recycled Cardboard,6,8,5,76,4.41,0.5
Recycled Cardboard,8,8,8,72,4.92,0.7
Kraft Paper,7,19,5,80,3.89,0.61
Bamboo Fiber Packaging,5,13,8,90,4.62,0.69
Corrugated Board,5,17,6,68,2,0.79
